epoch,classification_output_accuracy,classification_output_loss,loss,segmentation_output_accuracy,segmentation_output_loss,val_classification_output_accuracy,val_classification_output_loss,val_loss,val_segmentation_output_accuracy,val_segmentation_output_loss
0,0.828882635,0.506605327,1.361639142,0.756589711,0.855033934,0.119521916,4.512072086,5.389731407,0.5964185,0.87765944
1,0.884047806,0.324706763,1.101115584,0.900596321,0.776408374,0.306772918,11.35062408,12.26448441,0.33130601,0.913860083
2,0.897399843,0.283754498,1.028849721,0.92254293,0.745095313,0.282868534,11.52795506,12.37297058,0.697744608,0.845015705
3,0.913562894,0.225903288,0.951229513,0.929455698,0.725326419,0.54581672,2.15262413,2.928318024,0.869312763,0.775693655
4,0.917779326,0.21141465,0.923572838,0.936221242,0.712157845,0.872509956,0.257303596,0.937906742,0.945826888,0.680603027
5,0.928320467,0.177400991,0.874606311,0.940026164,0.697205544,0.693227112,0.830852091,1.665087819,0.731950819,0.834235787
6,0.930428684,0.178551793,0.855988443,0.944034517,0.677436888,0.581673324,1.867586255,2.561849833,0.922347546,0.694263339
7,0.937456071,0.163946941,0.829120517,0.946255207,0.66517365,0.501992047,1.759587884,2.445421696,0.963497043,0.68583405
8,0.936401963,0.156569198,0.80264926,0.950837851,0.646079719,0.533864558,2.510727644,3.312688351,0.964309931,0.801960588
9,0.94378072,0.145750254,0.749230921,0.95990622,0.603480816,0.509960175,4.137589455,4.941574574,0.969645381,0.803985119
10,0.951159537,0.13291648,0.708369732,0.960581243,0.575453103,0.964143455,0.133035555,0.714223146,0.975539923,0.581187487
11,0.956430078,0.117592268,0.664601922,0.969870925,0.54700911,0.964143455,0.129974157,0.698754728,0.975692391,0.568780541
12,0.96099788,0.111678787,0.64739567,0.971267939,0.535716772,0.960159361,0.125652373,0.681645632,0.97586751,0.555993259
13,0.961349249,0.104013085,0.633612931,0.972214103,0.529599488,0.968127489,0.117513373,0.664635479,0.972770214,0.547122002
14,0.965917051,0.102485746,0.628913581,0.972239316,0.526427984,0.968127489,0.115659893,0.652342498,0.975931048,0.536682487
15,0.960295141,0.108771116,0.629665017,0.973225653,0.520894289,0.968127489,0.108316444,0.63708818,0.975488961,0.528771758
16,0.96626842,0.101503462,0.618213713,0.973370552,0.516710341,0.968127489,0.110827617,0.635709524,0.975086749,0.524881899
17,0.964511573,0.09815295,0.60991323,0.97380954,0.511760175,0.964143455,0.110594146,0.643307626,0.978523672,0.532713413
18,0.962403357,0.101941071,0.612771094,0.973944724,0.510829985,0.968127489,0.106946133,0.627551973,0.97625947,0.520605922
19,0.966971159,0.09427055,0.603147089,0.974279106,0.508876324,0.964143455,0.109303795,0.620362699,0.975971878,0.511058986
20,0.967673957,0.094623923,0.597275138,0.974169791,0.502651215,0.968127489,0.102201723,0.616269052,0.975344598,0.514067352
21,0.970484912,0.094817407,0.596405685,0.9747172,0.501588285,0.972111583,0.09699408,0.613685429,0.979061663,0.516691387
22,0.969079435,0.094305329,0.596171975,0.974377334,0.501866758,0.968127489,0.100515075,0.603415012,0.977324009,0.502899885
23,0.972241759,0.083987907,0.579604566,0.97522676,0.495616615,0.968127489,0.103385366,0.600650847,0.977642238,0.497265548
24,0.969430804,0.087154046,0.58200103,0.975176156,0.49484694,0.972111583,0.094982736,0.599136233,0.979251742,0.50415349
25,0.975052714,0.081978351,0.568188906,0.975609183,0.486210525,0.972111583,0.086199611,0.585017323,0.978160262,0.498817801
26,0.969782174,0.086183801,0.576994658,0.975428343,0.490810841,0.976095617,0.082326666,0.573517561,0.977688372,0.491190851
27,0.974701345,0.080186062,0.569795012,0.975468159,0.489609003,0.976095617,0.089502804,0.60040772,0.980408669,0.510904729
28,0.975755453,0.078535944,0.562727511,0.976177692,0.484191388,0.972111583,0.092312708,0.592682242,0.979691625,0.500369489
29,0.976106822,0.074143961,0.556936979,0.975724816,0.482792854,0.98007971,0.074336328,0.574261963,0.980034351,0.499925703
30,0.979620516,0.07256975,0.55740118,0.975840628,0.484831244,0.972111583,0.088960692,0.576423466,0.978583395,0.487462819
31,0.976458192,0.069443949,0.546844661,0.976342916,0.47740078,0.968127489,0.079990521,0.573233068,0.980550647,0.493242502
32,0.976809561,0.072515324,0.549486578,0.97660619,0.476971179,0.98007971,0.070900187,0.552217901,0.977894843,0.481317729
33,0.983836949,0.066405952,0.541371644,0.976661563,0.474966049,0.972111583,0.075710043,0.560992241,0.979731441,0.485282093
34,0.979620516,0.068785951,0.54145962,0.977087259,0.472673893,0.976095617,0.068239629,0.544917047,0.9780007,0.476677388
35,0.975404084,0.070514604,0.541828394,0.976686954,0.471313834,0.976095617,0.074958086,0.559267938,0.978915453,0.484309822
36,0.982431471,0.063787483,0.53308785,0.976653874,0.469300389,0.98007971,0.077038892,0.55741179,0.9798581,0.480372906
37,0.981377363,0.064139448,0.53305912,0.976696312,0.468919605,0.988047838,0.06015563,0.564855278,0.980733573,0.504699588
38,0.985945165,0.058482457,0.524405479,0.977261782,0.465922922,0.98007971,0.057221897,0.534070969,0.979315817,0.476849049
39,0.982431471,0.061886843,0.526966453,0.977238119,0.465079606,0.984063745,0.060525611,0.534543812,0.978404284,0.474018246
40,0.984539688,0.057292834,0.522342622,0.97728616,0.465049714,0.972111583,0.073888406,0.549534202,0.979866922,0.47564581
41,0.984891057,0.05490588,0.512669146,0.977771342,0.457763284,0.984063745,0.058695674,0.528772354,0.980451524,0.47007668
42,0.984188318,0.054787643,0.516576052,0.977238715,0.461788476,0.988047838,0.049435984,0.515119731,0.98021847,0.465683699
43,0.988053381,0.052168962,0.509228766,0.977597594,0.45705983,0.988047838,0.045928229,0.514750898,0.980891109,0.468822598
44,0.986647904,0.055826388,0.513161182,0.977527678,0.457334697,0.988047838,0.049319576,0.540351212,0.980887711,0.491031587
45,0.984539688,0.052003458,0.503119588,0.977848053,0.451116025,0.988047838,0.061555233,0.528986931,0.981591463,0.467431724
46,0.992621243,0.043807454,0.4941006,0.978367209,0.450292945,0.992031872,0.041158158,0.515633285,0.981177807,0.474475145
47,0.986647904,0.049746376,0.495568633,0.978067994,0.445822239,0.988047838,0.060351789,0.520419657,0.979981661,0.460067809
48,0.989810288,0.044198573,0.491388649,0.978098989,0.447189957,0.992031872,0.044242363,0.49548462,0.978723586,0.451242208
49,0.991215765,0.04511597,0.487607688,0.97810787,0.44249168,0.992031872,0.037211008,0.522413075,0.981421113,0.485202134
50,0.985945165,0.048535571,0.490774006,0.978227913,0.442238271,0.988047838,0.048305139,0.500762641,0.979422748,0.452457458
